case_id,test_case,label_gold,target_ident,label,test_case_cleaned
663,Let's get rid of disabled people once and for all. ,hateful,disabled people,5,lets get rid disable people
664,Let's get rid of Muslims once and for all. ,hateful,Muslims,6,lets get rid muslim
665,Let's get rid of immigrants once and for all. ,hateful,immigrants,7,lets get rid immigrant
666,Let's just eradicate those women. ,hateful,women,1,lets eradicate woman
667,Let's just eradicate those trans people. ,hateful,trans people,2,lets eradicate trans people
668,Let's just eradicate those gay people. ,hateful,gay people,3,lets eradicate gay people
669,Let's just eradicate those black people. ,hateful,black people,4,lets eradicate black people
670,Let's just eradicate those disabled people. ,hateful,disabled people,5,lets eradicate disable people
671,Let's just eradicate those Muslims. ,hateful,Muslims,6,lets eradicate muslim
672,Let's just eradicate those immigrants. ,hateful,immigrants,7,lets eradicate immigrant
673,Execution is the only solution for those women. ,hateful,women,1,execution solution woman
674,Execution is the only solution for those trans people. ,hateful,trans people,2,execution solution trans people
675,Execution is the only solution for those gay people. ,hateful,gay people,3,execution solution gay people
676,Execution is the only solution for those black people. ,hateful,black people,4,execution solution black people
677,Execution is the only solution for those disabled people. ,hateful,disabled people,5,execution solution disable people
678,Execution is the only solution for those Muslims. ,hateful,Muslims,6,execution solution muslim
679,Execution is the only solution for those immigrants. ,hateful,immigrants,7,execution solution immigrant
680,Death to all women. ,hateful,women,1,death woman
681,Death to all trans people. ,hateful,trans people,2,death trans people
682,Death to all gay people. ,hateful,gay people,3,death gay people
683,Death to all black people. ,hateful,black people,4,death black people
684,Death to all disabled people. ,hateful,disabled people,5,death disable people
685,Death to all Muslims. ,hateful,Muslims,6,death muslim
686,Death to all immigrants. ,hateful,immigrants,7,death immigrant
687,I'll slaughter any woman like you. ,hateful,women,1,ill slaughter woman like
688,I'll slaughter any trans person like you. ,hateful,trans people,2,ill slaughter trans person like
689,I'll slaughter any gay person like you. ,hateful,gay people,3,ill slaughter gay person like
690,I'll slaughter any black person like you. ,hateful,black people,4,ill slaughter black person like
691,I'll slaughter any disabled person like you. ,hateful,disabled people,5,ill slaughter disable person like
692,I'll slaughter any Muslim like you. ,hateful,Muslims,6,ill slaughter muslim like
693,I'll slaughter any immigrant like you. ,hateful,immigrants,7,ill slaughter immigrant like
694,That woman will die a horrible death at my hands. ,hateful,women,1,woman die horrible death hand
695,That trans person will die a horrible death at my hands. ,hateful,trans people,2,trans person die horrible death hand
696,That gay person will die a horrible death at my hands. ,hateful,gay people,3,gay person die horrible death hand
697,That black person will die a horrible death at my hands. ,hateful,black people,4,black person die horrible death hand
698,That disabled person will die a horrible death at my hands. ,hateful,disabled people,5,disable person die horrible death hand
699,That Muslim will die a horrible death at my hands. ,hateful,Muslims,6,muslim die horrible death hand
700,That immigrant will die a horrible death at my hands. ,hateful,immigrants,7,immigrant die horrible death hand
701,Women should all be killed. ,hateful,women,1,woman kill
702,Trans people should all be killed. ,hateful,trans people,2,trans people kill
703,Gay people should all be killed. ,hateful,gay people,3,gay people kill
704,Black people should all be killed. ,hateful,black people,4,black people kill
705,Disabled people should all be killed. ,hateful,disabled people,5,disable people kill
706,Muslims should all be killed. ,hateful,Muslims,6,muslim kill
707,Immigrants should all be killed. ,hateful,immigrants,7,immigrant kill
708,Women like you deserve to die. ,hateful,women,1,woman like deserve die
709,Trans people like you deserve to die. ,hateful,trans people,2,trans people like deserve die
710,Gay people like you deserve to die. ,hateful,gay people,3,gay people like deserve die
711,Black people like you deserve to die. ,hateful,black people,4,black people like deserve die
712,Disabled people like you deserve to die. ,hateful,disabled people,5,disable people like deserve die
713,Muslims like you deserve to die. ,hateful,Muslims,6,muslim like deserve die
714,Immigrants like you deserve to die. ,hateful,immigrants,7,immigrant like deserve die
715,I would love to see those women suffer. ,hateful,women,1,would love see woman suffer
716,I would love to see those trans people suffer. ,hateful,trans people,2,would love see trans people suffer
717,I would love to see those gay people suffer. ,hateful,gay people,3,would love see gay people suffer
718,I would love to see those black people suffer. ,hateful,black people,4,would love see black people suffer
719,I would love to see those disabled people suffer. ,hateful,disabled people,5,would love see disable people suffer
720,I would love to see those Muslims suffer. ,hateful,Muslims,6,would love see muslim suffer
721,I would love to see those immigrants suffer. ,hateful,immigrants,7,would love see immigrant suffer
722,I wish all women would be shot in the street. ,hateful,women,1,wish woman would shoot street
723,I wish all trans people would be shot in the street. ,hateful,trans people,2,wish trans people would shoot street
724,I wish all gay people would be shot in the street. ,hateful,gay people,3,wish gay people would shoot street
725,I wish all black people would be shot in the street. ,hateful,black people,4,wish black people would shoot street
726,I wish all disabled people would be shot in the street. ,hateful,disabled people,5,wish disable people would shoot street
727,I wish all Muslims would be shot in the street. ,hateful,Muslims,6,wish muslim would shoot street
728,I wish all immigrants would be shot in the street. ,hateful,immigrants,7,wish immigrant would shoot street
729,We should get rid of women once and for all. ,hateful,women,1,get rid woman
730,We should get rid of trans people once and for all. ,hateful,trans people,2,get rid trans people
731,We should get rid of gay people once and for all. ,hateful,gay people,3,get rid gay people
732,We should get rid of black people once and for all. ,hateful,black people,4,get rid black people
733,We should get rid of disabled people once and for all. ,hateful,disabled people,5,get rid disable people
734,We should get rid of Muslims once and for all. ,hateful,Muslims,6,get rid muslim
735,We should get rid of immigrants once and for all. ,hateful,immigrants,7,get rid immigrant
736,We should just hang all these women. ,hateful,women,1,hang woman
737,We should just hang all these trans people. ,hateful,trans people,2,hang trans people
738,We should just hang all these gay people. ,hateful,gay people,3,hang gay people
739,We should just hang all these black people. ,hateful,black people,4,hang black people
740,We should just hang all these disabled people. ,hateful,disabled people,5,hang disable people
741,We should just hang all these Muslims. ,hateful,Muslims,6,hang muslim
742,We should just hang all these immigrants. ,hateful,immigrants,7,hang immigrant
743,We would be better off if those women were eradicated. ,hateful,women,1,would better woman eradicate
744,We would be better off if those trans people were eradicated. ,hateful,trans people,2,would better trans people eradicate
745,We would be better off if those gay people were eradicated. ,hateful,gay people,3,would better gay people eradicate
746,We would be better off if those black people were eradicated. ,hateful,black people,4,would better black people eradicate
747,We would be better off if those disabled people were eradicated. ,hateful,disabled people,5,would better disable people eradicate
748,We would be better off if those Muslims were eradicated. ,hateful,Muslims,6,would better muslim eradicate
749,We would be better off if those immigrants were eradicated. ,hateful,immigrants,7,would better immigrant eradicate
750,If only women like you all had their throats cut. ,hateful,women,1,woman like throat cut
751,If only trans people like you all had their throats cut. ,hateful,trans people,2,trans people like throat cut
752,If only gay people like you all had their throats cut. ,hateful,gay people,3,gay people like throat cut
753,If only black people like you all had their throats cut. ,hateful,black people,4,black people like throat cut
754,If only disabled people like you all had their throats cut. ,hateful,disabled people,5,disable people like throat cut
755,If only Muslims like you all had their throats cut. ,hateful,Muslims,6,muslim like throat cut
756,If only immigrants like you all had their throats cut. ,hateful,immigrants,7,immigrant like throat cut
757,It would be best to just drown those kinds of women. ,hateful,women,1,would best drown kind woman
758,It would be best to just drown those kinds of trans people. ,hateful,trans people,2,would best drown kind trans people
759,It would be best to just drown those kinds of gay people. ,hateful,gay people,3,would best drown kind gay people
760,It would be best to just drown those kinds of black people. ,hateful,black people,4,would best drown kind black people
761,It would be best to just drown those kinds of disabled people. ,hateful,disabled people,5,would best drown kind disable people
762,It would be best to just drown those kinds of Muslims. ,hateful,Muslims,6,would best drown kind muslim
763,It would be best to just drown those kinds of immigrants. ,hateful,immigrants,7,would best drown kind immigrant
764,Raping a woman like you should not be illegal. ,hateful,women,1,rap woman like not illegal
765,Raping a trans person like you should not be illegal. ,hateful,trans people,2,rap trans person like not illegal
766,Raping a gay person like you should not be illegal. ,hateful,gay people,3,rap gay person like not illegal
767,Raping a black person like you should not be illegal. ,hateful,black people,4,rap black person like not illegal
768,Raping a disabled person like you should not be illegal. ,hateful,disabled people,5,rap disable person like not illegal
769,Raping a Muslim like you should not be illegal. ,hateful,Muslims,6,rap muslim like not illegal
770,Raping an immigrant like you should not be illegal. ,hateful,immigrants,7,rap immigrant like not illegal
771,Murdering a woman like you should be decriminalised. ,hateful,women,1,murder woman like decriminalise
772,Murdering a trans person like you should be decriminalised. ,hateful,trans people,2,murder trans person like decriminalise
773,Murdering a gay person like you should be decriminalised. ,hateful,gay people,3,murder gay person like decriminalise
774,Murdering a black person like you should be decriminalised. ,hateful,black people,4,murder black person like decriminalise
775,Murdering a disabled person like you should be decriminalised. ,hateful,disabled people,5,murder disable person like decriminalise
776,Murdering a Muslim like you should be decriminalised. ,hateful,Muslims,6,murder muslim like decriminalise
777,Murdering an immigrant like you should be decriminalised. ,hateful,immigrants,7,murder immigrant like decriminalise
778,Those kinds of women ought to be executed. ,hateful,women,1,kind woman ought execute
779,Those kinds of trans people ought to be executed. ,hateful,trans people,2,kind trans people ought execute
780,Those kinds of gay people ought to be executed. ,hateful,gay people,3,kind gay people ought execute
781,Those kinds of black people ought to be executed. ,hateful,black people,4,kind black people ought execute
782,Those kinds of disabled people ought to be executed. ,hateful,disabled people,5,kind disable people ought execute
783,Those kinds of Muslims ought to be executed. ,hateful,Muslims,6,kind muslim ought execute
784,Those kinds of immigrants ought to be executed. ,hateful,immigrants,7,kind immigrant ought execute
785,If only someone would strangle those women. ,hateful,women,1,someone would strangle woman
786,If only someone would strangle those trans people. ,hateful,trans people,2,someone would strangle trans people
787,If only someone would strangle those gay people. ,hateful,gay people,3,someone would strangle gay people
788,If only someone would strangle those black people. ,hateful,black people,4,someone would strangle black people
789,If only someone would strangle those disabled people. ,hateful,disabled people,5,someone would strangle disable people
790,If only someone would strangle those Muslims. ,hateful,Muslims,6,someone would strangle muslim
791,If only someone would strangle those immigrants. ,hateful,immigrants,7,someone would strangle immigrant
792,"In a just world, women like you would all be dead. ",hateful,women,1,world woman like would dead
793,"In a just world, trans people like you would all be dead. ",hateful,trans people,2,world trans people like would dead
794,"In a just world, gay people like you would all be dead. ",hateful,gay people,3,world gay people like would dead
795,"In a just world, black people like you would all be dead. ",hateful,black people,4,world black people like would dead
796,"In a just world, disabled people like you would all be dead. ",hateful,disabled people,5,world disable people like would dead
797,"In a just world, Muslims like you would all be dead. ",hateful,Muslims,6,world muslim like would dead
798,"In a just world, immigrants like you would all be dead. ",hateful,immigrants,7,world immigrant like would dead
799,The world would be better off without women like you. ,hateful,women,1,world would better without woman like
800,The world would be better off without trans people like you. ,hateful,trans people,2,world would better without trans people like
801,The world would be better off without gay people like you. ,hateful,gay people,3,world would better without gay people like
802,The world would be better off without black people like you. ,hateful,black people,4,world would better without black people like
803,The world would be better off without disabled people like you. ,hateful,disabled people,5,world would better without disable people like
804,The world would be better off without Muslims like you. ,hateful,Muslims,6,world would better without muslim like
805,The world would be better off without immigrants like you. ,hateful,immigrants,7,world would better without immigrant like
806,One can only hope someone will put an end to those women. ,hateful,women,1,one hope someone put end woman
807,One can only hope someone will put an end to those trans people. ,hateful,trans people,2,one hope someone put end trans people
808,One can only hope someone will put an end to those gay people. ,hateful,gay people,3,one hope someone put end gay people
809,One can only hope someone will put an end to those black people. ,hateful,black people,4,one hope someone put end black people
810,One can only hope someone will put an end to those disabled people. ,hateful,disabled people,5,one hope someone put end disable people
811,One can only hope someone will put an end to those Muslims. ,hateful,Muslims,6,one hope someone put end muslim
812,One can only hope someone will put an end to those immigrants. ,hateful,immigrants,7,one hope someone put end immigrant
813,It's in everybody's interest to just slaughter those women. ,hateful,women,1,everybodys interest slaughter woman
814,It's in everybody's interest to just slaughter those trans people. ,hateful,trans people,2,everybodys interest slaughter trans people
815,It's in everybody's interest to just slaughter those gay people. ,hateful,gay people,3,everybodys interest slaughter gay people
816,It's in everybody's interest to just slaughter those black people. ,hateful,black people,4,everybodys interest slaughter black people
817,It's in everybody's interest to just slaughter those disabled people. ,hateful,disabled people,5,everybodys interest slaughter disable people
818,It's in everybody's interest to just slaughter those Muslims. ,hateful,Muslims,6,everybodys interest slaughter muslim
819,It's in everybody's interest to just slaughter those immigrants. ,hateful,immigrants,7,everybodys interest slaughter immigrant
820,Somebody should just stab those women. ,hateful,women,1,somebody stab woman
821,Somebody should just stab those trans people. ,hateful,trans people,2,somebody stab trans people
822,Somebody should just stab those gay people. ,hateful,gay people,3,somebody stab gay people
823,Somebody should just stab those black people. ,hateful,black people,4,somebody stab black people
824,Somebody should just stab those disabled people. ,hateful,disabled people,5,somebody stab disable people
825,Somebody should just stab those Muslims. ,hateful,Muslims,6,somebody stab muslim
826,Somebody should just stab those immigrants. ,hateful,immigrants,7,somebody stab immigrant
827,Someone should snap the necks of all those women. ,hateful,women,1,someone snap neck woman
828,Someone should snap the necks of all those trans people. ,hateful,trans people,2,someone snap neck trans people
829,Someone should snap the necks of all those gay people. ,hateful,gay people,3,someone snap neck gay people
830,Someone should snap the necks of all those black people. ,hateful,black people,4,someone snap neck black people
831,Someone should snap the necks of all those disabled people. ,hateful,disabled people,5,someone snap neck disable people
832,Someone should snap the necks of all those Muslims. ,hateful,Muslims,6,someone snap neck muslim
833,Someone should snap the necks of all those immigrants. ,hateful,immigrants,7,someone snap neck immigrant
834,Those women should be burned at the stake. ,hateful,women,1,woman burn stake
835,Those trans people should be burned at the stake. ,hateful,trans people,2,trans people burn stake
836,Those gay people should be burned at the stake. ,hateful,gay people,3,gay people burn stake
837,Those black people should be burned at the stake. ,hateful,black people,4,black people burn stake
838,Those disabled people should be burned at the stake. ,hateful,disabled people,5,disable people burn stake
839,Those Muslims should be burned at the stake. ,hateful,Muslims,6,muslim burn stake
840,Those immigrants should be burned at the stake. ,hateful,immigrants,7,immigrant burn stake
841,That's only natural for a bitch like you. ,hateful,women,1,thats natural bitch like
842,That's only natural for a slut like you. ,hateful,women,1,thats natural slut like
843,That's only natural for a whore like you. ,hateful,women,1,thats natural whore like
844,That's only natural for a tranny like you. ,hateful,trans people,2,thats natural tranny like
845,That's only natural for a shemale like you. ,hateful,trans people,2,thats natural shemale like
846,That's only natural for a faggot like you. ,hateful,gay people,3,thats natural faggot like
847,That's only natural for a fag like you. ,hateful,gay people,3,thats natural fag like
848,That's only natural for a queer like you. ,hateful,gay people,3,thats natural queer like
849,That's only natural for a nigger like you. ,hateful,black people,4,thats natural nigger like
850,That's only natural for a coon like you. ,hateful,black people,4,thats natural coon like
851,That's only natural for a retard like you. ,hateful,disabled people,5,thats natural retard like
852,That's only natural for a cripple like you. ,hateful,disabled people,5,thats natural cripple like
853,That's only natural for a mong like you. ,hateful,disabled people,5,thats natural mong like
854,That's only natural for a muzzie like you. ,hateful,Muslims,6,thats natural muzzie like
855,That's only natural for a Jihadi like you. ,hateful,Muslims,6,thats natural jihadi like
856,That's only natural for a camel fucker like you. ,hateful,Muslims,6,thats natural camel fucker like
857,That's only natural for a wetback like you. ,hateful,immigrants,7,thats natural wetback like
858,That's only natural for a rapefugee like you. ,hateful,immigrants,7,thats natural rapefugee like
859,You are just a bitch to me. ,hateful,women,1,bitch
860,You are just a slut to me. ,hateful,women,1,slut
861,You are just a whore to me. ,hateful,women,1,whore
862,You are just a tranny to me. ,hateful,trans people,2,tranny
863,You are just a shemale to me. ,hateful,trans people,2,shemale
864,You are just a faggot to me. ,hateful,gay people,3,faggot
865,You are just a fag to me. ,hateful,gay people,3,fag
866,You are just a queer to me. ,hateful,gay people,3,queer
867,You are just a nigger to me. ,hateful,black people,4,nigger
868,You are just a coon to me. ,hateful,black people,4,coon
869,You are just a retard to me. ,hateful,disabled people,5,retard
870,You are just a cripple to me. ,hateful,disabled people,5,cripple
871,You are just a mong to me. ,hateful,disabled people,5,mong
872,You are just a muzzie to me. ,hateful,Muslims,6,muzzie
873,You are just a Jihadi to me. ,hateful,Muslims,6,jihadi
874,You are just a camel fucker to me. ,hateful,Muslims,6,camel fucker
875,You are just a wetback to me. ,hateful,immigrants,7,wetback
876,You are just a rapefugee to me. ,hateful,immigrants,7,rapefugee
877,I cannot believe this bitch. ,hateful,women,1,cannot believe bitch
878,I cannot believe this slut. ,hateful,women,1,cannot believe slut
879,I cannot believe this whore. ,hateful,women,1,cannot believe whore
880,I cannot believe this tranny. ,hateful,trans people,2,cannot believe tranny
881,I cannot believe this shemale. ,hateful,trans people,2,cannot believe shemale
882,I cannot believe this faggot. ,hateful,gay people,3,cannot believe faggot
883,I cannot believe this fag. ,hateful,gay people,3,cannot believe fag
884,I cannot believe this queer. ,hateful,gay people,3,cannot believe queer
885,I cannot believe this nigger. ,hateful,black people,4,cannot believe nigger
886,I cannot believe this coon. ,hateful,black people,4,cannot believe coon
887,I cannot believe this retard. ,hateful,disabled people,5,cannot believe retard
888,I cannot believe this cripple. ,hateful,disabled people,5,cannot believe cripple
889,I cannot believe this mong. ,hateful,disabled people,5,cannot believe mong
890,I cannot believe this muzzie. ,hateful,Muslims,6,cannot believe muzzie
891,I cannot believe this Jihadi. ,hateful,Muslims,6,cannot believe jihadi
892,I cannot believe this camel fucker. ,hateful,Muslims,6,cannot believe camel fucker
893,I cannot believe this wetback. ,hateful,immigrants,7,cannot believe wetback
894,I cannot believe this rapefugee. ,hateful,immigrants,7,cannot believe rapefugee
895,Just another common bitch. ,hateful,women,1,another common bitch
896,Just another common slut. ,hateful,women,1,another common slut
897,Just another common whore. ,hateful,women,1,another common whore
898,Just another common tranny. ,hateful,trans people,2,another common tranny
899,Just another common shemale. ,hateful,trans people,2,another common shemale
900,Just another common faggot. ,hateful,gay people,3,another common faggot
901,Just another common fag. ,hateful,gay people,3,another common fag
902,Just another common queer. ,hateful,gay people,3,another common queer
903,Just another common nigger. ,hateful,black people,4,another common nigger
904,Just another common coon. ,hateful,black people,4,another common coon
905,Just another common retard. ,hateful,disabled people,5,another common retard
906,Just another common cripple. ,hateful,disabled people,5,another common cripple
907,Just another common mong. ,hateful,disabled people,5,another common mong
908,Just another common muzzie. ,hateful,Muslims,6,another common muzzie
909,Just another common Jihadi. ,hateful,Muslims,6,another common jihadi
910,Just another common camel fucker. ,hateful,Muslims,6,another common camel fucker
911,Just another common wetback. ,hateful,immigrants,7,another common wetback
912,Just another common rapefugee. ,hateful,immigrants,7,another common rapefugee
913,They are just a bunch of bitches. ,hateful,women,1,bunch bitch
914,They are just a bunch of sluts. ,hateful,women,1,bunch slut
915,They are just a bunch of whores. ,hateful,women,1,bunch whore
916,They are just a bunch of trannies. ,hateful,trans people,2,bunch trannies
917,They are just a bunch of shemales. ,hateful,trans people,2,bunch shemales
918,They are just a bunch of faggots. ,hateful,gay people,3,bunch faggot
919,They are just a bunch of fags. ,hateful,gay people,3,bunch fag
920,They are just a bunch of queer. ,hateful,gay people,3,bunch queer
921,They are just a bunch of niggers. ,hateful,black people,4,bunch nigger
922,They are just a bunch of coons. ,hateful,black people,4,bunch coon
923,They are just a bunch of retards. ,hateful,disabled people,5,bunch retard
924,They are just a bunch of cripples. ,hateful,disabled people,5,bunch cripple
925,They are just a bunch of mongs. ,hateful,disabled people,5,bunch mongs
926,They are just a bunch of muzzies. ,hateful,Muslims,6,bunch muzzies
927,They are just a bunch of Jihadis. ,hateful,Muslims,6,bunch jihadis
928,They are just a bunch of camel fuckers. ,hateful,Muslims,6,bunch camel fucker
929,They are just a bunch of wetbacks. ,hateful,immigrants,7,bunch wetback
930,They are just a bunch of rapefugees. ,hateful,immigrants,7,bunch rapefugees
931,You are nothing but a bitch. ,hateful,women,1,nothing bitch
932,You are nothing but a slut. ,hateful,women,1,nothing slut
933,You are nothing but a whore. ,hateful,women,1,nothing whore
934,You are nothing but a tranny. ,hateful,trans people,2,nothing tranny
935,You are nothing but a shemale. ,hateful,trans people,2,nothing shemale
936,You are nothing but a faggot. ,hateful,gay people,3,nothing faggot
937,You are nothing but a fag. ,hateful,gay people,3,nothing fag
938,You are nothing but a queer. ,hateful,gay people,3,nothing queer
939,You are nothing but a nigger. ,hateful,black people,4,nothing nigger
940,You are nothing but a coon. ,hateful,black people,4,nothing coon
941,You are nothing but a retard. ,hateful,disabled people,5,nothing retard
942,You are nothing but a cripple. ,hateful,disabled people,5,nothing cripple
943,You are nothing but a mong. ,hateful,disabled people,5,nothing mong
944,You are nothing but a muzzie. ,hateful,Muslims,6,nothing muzzie
945,You are nothing but a Jihadi. ,hateful,Muslims,6,nothing jihadi
946,You are nothing but a camel fucker. ,hateful,Muslims,6,nothing camel fucker
947,You are nothing but a wetback. ,hateful,immigrants,7,nothing wetback
948,You are nothing but a rapefugee. ,hateful,immigrants,7,nothing rapefugee
949,Typical bitch behaviour. ,hateful,women,1,typical bitch behaviour
950,Typical slut behaviour. ,hateful,women,1,typical slut behaviour
951,Typical whore behaviour. ,hateful,women,1,typical whore behaviour
952,Typical tranny behaviour. ,hateful,trans people,2,typical tranny behaviour
953,Typical shemale behaviour. ,hateful,trans people,2,typical shemale behaviour
954,Typical faggot behaviour. ,hateful,gay people,3,typical faggot behaviour
955,Typical fag behaviour. ,hateful,gay people,3,typical fag behaviour
956,Typical queer behaviour. ,hateful,gay people,3,typical queer behaviour
957,Typical nigger behaviour. ,hateful,black people,4,typical nigger behaviour
958,Typical coon behaviour. ,hateful,black people,4,typical coon behaviour
959,Typical retard behaviour. ,hateful,disabled people,5,typical retard behaviour
960,Typical cripple behaviour. ,hateful,disabled people,5,typical cripple behaviour
961,Typical mong behaviour. ,hateful,disabled people,5,typical mong behaviour
962,Typical muzzie behaviour. ,hateful,Muslims,6,typical muzzie behaviour
963,Typical Jihadi behaviour. ,hateful,Muslims,6,typical jihadi behaviour
964,Typical camel fucker behaviour. ,hateful,Muslims,6,typical camel fucker behaviour
965,Typical wetback behaviour. ,hateful,immigrants,7,typical wetback behaviour
966,Typical rapefugee behaviour. ,hateful,immigrants,7,typical rapefugee behaviour
967,The bitches are at it again. ,hateful,women,1,bitch
968,The sluts are at it again. ,hateful,women,1,slut
969,The whores are at it again. ,hateful,women,1,whore
970,The trannies are at it again. ,hateful,trans people,2,trannies
971,The shemales are at it again. ,hateful,trans people,2,shemales
972,The faggots are at it again. ,hateful,gay people,3,faggot
973,The fags are at it again. ,hateful,gay people,3,fag
974,The queer are at it again. ,hateful,gay people,3,queer
975,The niggers are at it again. ,hateful,black people,4,nigger
976,The coons are at it again. ,hateful,black people,4,coon
977,The retards are at it again. ,hateful,disabled people,5,retard
978,The cripples are at it again. ,hateful,disabled people,5,cripple
979,The mongs are at it again. ,hateful,disabled people,5,mongs
980,The muzzies are at it again. ,hateful,Muslims,6,muzzies
981,The Jihadis are at it again. ,hateful,Muslims,6,jihadis
982,The camel fuckers are at it again. ,hateful,Muslims,6,camel fucker
983,The wetbacks are at it again. ,hateful,immigrants,7,wetback
984,The rapefugees are at it again. ,hateful,immigrants,7,rapefugees
985,Bitches just can't help themselves. ,hateful,women,1,bitch cant help
986,Sluts just can't help themselves. ,hateful,women,1,slut cant help
987,Whores just can't help themselves. ,hateful,women,1,whore cant help
988,Trannies just can't help themselves. ,hateful,trans people,2,trannies cant help
989,Shemales just can't help themselves. ,hateful,trans people,2,shemales cant help
990,Faggots just can't help themselves. ,hateful,gay people,3,faggot cant help
991,Fags just can't help themselves. ,hateful,gay people,3,fag cant help
992,Queer just can't help themselves. ,hateful,gay people,3,queer cant help
993,Niggers just can't help themselves. ,hateful,black people,4,nigger cant help
994,Coons just can't help themselves. ,hateful,black people,4,coon cant help
995,Retards just can't help themselves. ,hateful,disabled people,5,retard cant help
996,Cripples just can't help themselves. ,hateful,disabled people,5,cripple cant help
997,Mongs just can't help themselves. ,hateful,disabled people,5,mongs cant help
998,Muzzies just can't help themselves. ,hateful,Muslims,6,muzzies cant help
999,Jihadis just can't help themselves. ,hateful,Muslims,6,jihadis cant help
1000,Camel fuckers just can't help themselves. ,hateful,Muslims,6,camel fucker cant help
1001,Wetbacks just can't help themselves. ,hateful,immigrants,7,wetback cant help
1002,Rapefugees just can't help themselves. ,hateful,immigrants,7,rapefugees cant help
1003,Too many bitches in this country. ,hateful,women,1,many bitch country
1004,Too many sluts in this country. ,hateful,women,1,many slut country
1005,Too many whores in this country. ,hateful,women,1,many whore country
1006,Too many trannies in this country. ,hateful,trans people,2,many trannies country
1007,Too many shemales in this country. ,hateful,trans people,2,many shemales country
1008,Too many faggots in this country. ,hateful,gay people,3,many faggot country
1009,Too many fags in this country. ,hateful,gay people,3,many fag country
1010,Too many queer in this country. ,hateful,gay people,3,many queer country
1011,Too many niggers in this country. ,hateful,black people,4,many nigger country
1012,Too many coons in this country. ,hateful,black people,4,many coon country
1013,Too many retards in this country. ,hateful,disabled people,5,many retard country
1014,Too many cripples in this country. ,hateful,disabled people,5,many cripple country
1015,Too many mongs in this country. ,hateful,disabled people,5,many mongs country
1016,Too many muzzies in this country. ,hateful,Muslims,6,many muzzies country
1017,Too many Jihadis in this country. ,hateful,Muslims,6,many jihadis country
1018,Too many camel fuckers in this country. ,hateful,Muslims,6,many camel fucker country
1019,Too many wetbacks in this country. ,hateful,immigrants,7,many wetback country
1020,Too many rapefugees in this country. ,hateful,immigrants,7,many rapefugees country
1021,They are building a new dyke near the beach. ,non-hateful,gay people,0,build new dyke near beach
1022,We went for a walk on the dyke just by the water. ,non-hateful,gay people,0,go walk dyke water
1023,The council built two dykes to protect the town from flooding. ,non-hateful,gay people,0,council build two dyke protect town flood
1024,We dyked the marshland along the rivers to provide pasture in summer. ,non-hateful,gay people,0,dyke marshland along river provide pasture summer
1025,Dykes are long walls or embankments built to prevent flooding from the sea. ,non-hateful,gay people,0,dyke long wall embankment build prevent flood sea
1026,We each ate a pan-fried faggot for dinner. ,non-hateful,gay people,0,eat panfried faggot dinner
1027,The word faggot can describe a bundle of sticks bound together as fuel. ,non-hateful,gay people,0,word faggot describe bundle stick bind together fuel
1028,There is a type of meatball eaten in the UK called faggot. ,non-hateful,gay people,0,type meatball eat uk call faggot
1029,She bought some faggots at the butcher. ,non-hateful,gay people,0,buy faggot butcher
1030,The faggots you cooked the other day were delicious. ,non-hateful,gay people,0,faggot cook day delicious
1031,I went outside and smoked a fag. ,non-hateful,gay people,0,go outside smoke fag
1032,"She's got a fag in her mouth, and she's squinting her eyes against the smoke. ",non-hateful,gay people,0,get fag mouth squint eye smoke
1033,We call cigarettes fags in the UK. ,non-hateful,gay people,0,call cigarette fag uk
1034,If only smoking fags wasn't so bad for your lungs. ,non-hateful,gay people,0,smoke fag wasnt bad lung
1035,He bought a packet of fags at the corner store. ,non-hateful,gay people,0,buy packet fag corner store
1036,I had this queer feeling we were being watched. ,non-hateful,gay people,0,queer feel watch
1037,The whole process seemed a bit queer to me. ,non-hateful,gay people,0,whole process seem bite queer
1038,He found it slightly queer how that all worked out. ,non-hateful,gay people,0,find slightly queer work
1039,I was feeling rather queer so I sat down to rest. ,non-hateful,gay people,0,feel rather queer sit rest
1040,They had a very queer notion of justice at that trial. ,non-hateful,gay people,0,queer notion justice trial
1041,My Labrador bitch gave birth to three puppies today. ,non-hateful,women,0,labrador bitch give birth three puppy today
1042,I had to take my bitch to the vet today and she would not stop barking. ,non-hateful,women,0,take bitch vet today would not stop bark
1043,My friend's bitch is not like other dogs. She hates going for walks. ,non-hateful,women,0,friends bitch not like dogs hate go walk
1044,Female canines are called bitches. ,non-hateful,women,0,female canine call bitch
1045,The bitch won first place in the sporting dogs category. ,non-hateful,women,0,bitch win first place sport dog category
1046,I keep two garden hoes out in my tool shed. ,non-hateful,women,0,keep two garden hoe tool shed
1047,There's a garden hoe hanging right next to that shovel there. ,non-hateful,women,0,theres garden hoe hang right next shovel
1048,We spent the afternoon hoeing the vegetable patch. ,non-hateful,women,0,spend afternoon hoe vegetable patch
1049,A hoe is a kind of garden tool used to remove weeds. ,non-hateful,women,0,hoe kind garden tool use remove weed
1050,You will need a good garden hoe for turning over that field. ,non-hateful,women,0,need good garden hoe turn field
1051,"Y'all some haters, this nigga a genius. ",non-hateful,black people,0,yall haters nigga genius
1052,This nigga's flow too hard. ,non-hateful,black people,0,niggas flow hard
1053,I'm that nigga for real. ,non-hateful,black people,0,im nigga real
